e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\blackbean_singlesL_Pro_1.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\drfont_daraehand_Basic_2.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\DXBSuB-KSCpc-EUC-H_3.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\DXHgrmB-KSCpc-EUC-H_4.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\DXHmchB-KSCpc-EUC-H_5.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\DXPnM-KSCpc-EUC-H_6.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\DXRMbxB-KSCpc-EUC-H_7.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\DXSnUB-KSCpc-EUC-H_8.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\gabia_bombaram_9.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\HanS%20Calli_10.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\hans%20punch_11.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\HanS_HyupGaep_Story2_12.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\HanS_memorySign_13.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\HanS_Odduki_14.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\HoonSlimskinnyL_15.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\HoonWhayangyunwha_16.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\HoonWhitecatR_17.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\Human_SiJung_18.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\Inkfree_19.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\Jjongalgongju_Dohuiche_v20_20.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\KCC-eunyoung_21.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\KCC-Kimhoon_22.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\Makgeolli_23.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\NanumPen_24.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\SDMiSaeng_25.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\SSShinb7_26.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\SSVeryBadHandwriting_27.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\SSYoungestDaughter_28.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\TaeFont_TSTHlmL_29.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\THEbomijoa_1_30.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\THELeft_31.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\THEsonyogamsung_32.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\THE_HongChawangjanemo_33.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\THE_Jolrida_34.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\Typo_BaekbeomB_35.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\Typo_MoonFlowerM_36.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\Typo_PapyrusM_37.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\Typo_PororoM_38.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\UhBee_DongKyung_BOLD_39.jpeg,하
e:\tensorflow-hangul-recognition\tools\../image-data/image-f61S\hangul-images\UhBee_Jiyoung_40.jpeg,하
